Date,Value
"Oct 1, 2017",  248.68
"Sep 1, 2017",  248.11
"Aug 1, 2017",  248.74
"Jul 1, 2017",  248.37
"Jun 1, 2017",  246.57
"May 1, 2017",  244.57
"Apr 1, 2017",  242.20
"Mar 1, 2017",  240.29
"Feb 1, 2017",  238.52
"Jan 1, 2017",  238.78
"Dec 1, 2016",  239.86
"Nov 1, 2016",  239.68
"Oct 1, 2016",  239.00
"Sep 1, 2016",  239.17
"Aug 1, 2016",  239.34
"Jul 1, 2016",  238.72
"Jun 1, 2016",  236.86
"May 1, 2016",  235.56
"Apr 1, 2016",  234.08
"Mar 1, 2016",  232.70
"Feb 1, 2016",  231.97
"Jan 1, 2016",  231.84
"Dec 1, 2015",  232.31
"Nov 1, 2015",  231.54
"Oct 1, 2015",  230.90
"Sep 1, 2015",  230.79
"Aug 1, 2015",  230.27
"Jul 1, 2015",  229.35
"Jun 1, 2015",  228.00
"May 1, 2015",  226.69
"Apr 1, 2015",  225.34
"Mar 1, 2015",  223.30
"Feb 1, 2015",  222.68
"Jan 1, 2015",  223.13
"Dec 1, 2014",  222.36
"Nov 1, 2014",  221.35
"Oct 1, 2014",  220.48
"Sep 1, 2014",  220.36
"Aug 1, 2014",  220.79
"Jul 1, 2014",  220.00
"Jun 1, 2014",  218.71
"May 1, 2014",  217.11
"Apr 1, 2014",  215.61
"Mar 1, 2014",  213.96
"Feb 1, 2014",  213.59
"Jan 1, 2014",  213.69
"Dec 1, 2013",  214.37
"Nov 1, 2013",  214.45
"Oct 1, 2013",  214.26
"Sep 1, 2013",  213.85
"Aug 1, 2013",  213.73
"Jul 1, 2013",  212.49
"Jun 1, 2013",  210.09
"May 1, 2013",  207.14
"Apr 1, 2013",  203.61
"Mar 1, 2013",  199.34
"Feb 1, 2013",  196.07
"Jan 1, 2013",  196.52
"Dec 1, 2012",  196.50
"Nov 1, 2012",  196.09
"Oct 1, 2012",  195.16
"Sep 1, 2012",  195.62
"Aug 1, 2012",  196.97
"Jul 1, 2012",  197.49
"Jun 1, 2012",  195.65
"May 1, 2012",  192.47
"Apr 1, 2012",  188.73
"Mar 1, 2012",  185.73
"Feb 1, 2012",  184.55
"Jan 1, 2012",  185.58
"Dec 1, 2011",  187.79
"Nov 1, 2011",  189.39
"Oct 1, 2011",  191.66
"Sep 1, 2011",  193.69
"Aug 1, 2011",  196.22
"Jul 1, 2011",  197.53
"Jun 1, 2011",  197.15
"May 1, 2011",  195.21
"Apr 1, 2011",  193.99
"Mar 1, 2011",  193.33
"Feb 1, 2011",  195.15
"Jan 1, 2011",  197.96
"Dec 1, 2010",  201.18
"Nov 1, 2010",  203.23
"Oct 1, 2010",  205.18
"Sep 1, 2010",  207.54
"Aug 1, 2010",  210.27
"Jul 1, 2010",  212.20
"Jun 1, 2010",  212.46
"May 1, 2010",  211.29
"Apr 1, 2010",  209.10
"Mar 1, 2010",  206.89
"Feb 1, 2010",  206.96
"Jan 1, 2010",  209.82
"Dec 1, 2009",  212.97
"Nov 1, 2009",  214.44
"Oct 1, 2009",  215.53
"Sep 1, 2009",  217.25
"Aug 1, 2009",  218.90
"Jul 1, 2009",  219.50
"Jun 1, 2009",  217.78
"May 1, 2009",  217.27
"Apr 1, 2009",  216.09
"Mar 1, 2009",  216.00
"Feb 1, 2009",  218.15
"Jan 1, 2009",  221.81
"Dec 1, 2008",  227.54
"Nov 1, 2008",  230.38
"Oct 1, 2008",  230.46
"Sep 1, 2008",  232.07
"Aug 1, 2008",  235.14
"Jul 1, 2008",  236.24
"Jun 1, 2008",  238.66
"May 1, 2008",  241.76
"Apr 1, 2008",  244.23
"Mar 1, 2008",  246.58
"Feb 1, 2008",  250.62
"Jan 1, 2008",  254.15
"Dec 1, 2007",  258.78
"Nov 1, 2007",  261.34
"Oct 1, 2007",  266.43
"Sep 1, 2007",  269.39
"Aug 1, 2007",  271.82
"Jul 1, 2007",  272.46
"Jun 1, 2007",  273.21
"May 1, 2007",  274.26
"Apr 1, 2007",  276.31
"Mar 1, 2007",  278.20
"Feb 1, 2007",  281.16
"Jan 1, 2007",  283.05
"Dec 1, 2006",  284.71
"Nov 1, 2006",  285.76
"Oct 1, 2006",  285.98
"Sep 1, 2006",  284.67
"Aug 1, 2006",  283.58
"Jul 1, 2006",  284.46
"Jun 1, 2006",  285.19
"May 1, 2006",  285.49
"Apr 1, 2006",  285.77
"Mar 1, 2006",  286.79
"Feb 1, 2006",  286.42
"Jan 1, 2006",  285.92
"Dec 1, 2005",  286.96
"Nov 1, 2005",  285.11
"Oct 1, 2005",  281.36
